Video Title: NEMS Buckling Snap Through x2.0.mp4
Unit for displacement: Unit
Note: The coordinate system is anchored at NW 
           Frame        Time (s)              Δx      Confidence           Model      Resolution             FPS          Filter    Center (X,Y)       Top (X,Y)    Bottom (X,Y)
             191           6.586          15.902               -Continuity + Regression         418x360              29       Greyscale      (230, 183)       (214, 21)      (215, 336)
             192           6.621          15.935               -Continuity + Regression         418x360              29       Greyscale      (230, 183)       (214, 21)      (215, 336)
             193           6.655          15.945               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             194           6.690          15.945               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             195           6.724          16.000               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             196           6.759          16.000               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             197           6.793          16.020               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             198           6.828          16.020               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             199           6.862          16.039               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             200           6.897          16.051               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             201           6.931          16.051               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             202           6.966          16.081               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             203           7.000          16.081               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             204           7.034          16.081               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             205           7.069          16.141               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             206           7.103          16.153               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             207           7.138          16.159               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             208           7.172          16.170               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             209           7.207          16.170               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             210           7.241          16.170               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             211           7.276          16.182               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             212           7.310          16.198               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             213           7.345          16.222               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             214           7.379          16.222               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             215           7.414          16.222               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             216           7.448          16.239               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             217           7.483          16.239               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             218           7.517          16.239               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             219           7.552          16.236               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             220           7.586          16.236               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             221           7.621          16.262               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             222           7.655          16.274               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
